,,Latitude,Longitude,Count
,,37.72,-122.39,7
,,37.73,-122.38,15
,,37.74,-122.39,2
,,37.74,-122.4,3
,,37.75,-122.39,4
,,37.75,-122.39,6
,,37.75,-122.4,6
,,37.75,-122.39,6
,,37.75,-122.42,5
,,37.75,-122.39,9
,,37.76,-122.51,11
,,37.76,-122.51,18
,,37.76,-122.41,4
,,37.76,-122.41,9
,,37.77,-122.41,5
,,37.77,-122.41,5
,,37.77,-122.4,2
,,37.77,-122.41,2
,,37.77,-122.45,2
,,37.77,-122.42,9
,,37.77,-122.41,7
,,37.78,-122.4,4
,,37.78,-122.41,4
,,37.78,-122.45,3
,,37.79,-122.45,4
,,37.71,-122.45,2
,,37.71,-122.45,1
,,37.71,-122.46,1
,,37.71,-122.47,1
,,37.72,-122.45,2
,,37.72,-122.44,1
,,37.72,-122.39,1
,,37.73,-122.47,1
,,37.73,-122.48,1
,,37.74,-122.43,3
,,37.74,-122.41,1
,,37.74,-122.48,1
,,37.74,-122.42,1
,,37.74,-122.39,4
,,37.75,-122.4,8
,,37.75,-122.4,2
,,37.75,-122.39,3
,,37.75,-122.42,3
,,37.75,-122.49,2
,,37.75,-122.39,2
,,37.75,-122.42,1
,,37.75,-122.51,1
,,37.75,-122.5,1
,,37.76,-122.51,1
,,37.76,-122.42,7
,,37.76,-122.42,1
,,37.76,-122.41,5
,,37.76,-122.5,1
,,37.76,-122.41,3
,,37.76,-122.42,1
,,37.76,-122.41,2
,,37.76,-122.43,2
,,37.76,-122.5,3
,,37.76,-122.51,1
,,37.76,-122.4,5
,,37.76,-122.5,1
,,37.76,-122.42,1
,,37.77,-122.42,1
,,37.77,-122.5,2
,,37.77,-122.51,1
,,37.77,-122.48,1
,,37.77,-122.48,1
,,37.77,-122.42,1
,,37.77,-122.4,1
,,37.77,-122.51,3
,,37.77,-122.42,1
,,37.77,-122.48,1
,,37.77,-122.4,1
,,37.77,-122.42,1
,,37.77,-122.42,2
,,37.77,-122.4,3
,,37.77,-122.41,1
,,37.77,-122.46,2
,,37.77,-122.41,2
,,37.77,-122.41,10
,,37.77,-122.45,7
,,37.77,-122.41,1
,,37.77,-122.51,6
,,37.77,-122.41,1
,,37.77,-122.4,5
,,37.77,-122.42,2
,,37.77,-122.4,4
,,37.77,-122.41,2
,,37.77,-122.5,1
,,37.77,-122.41,1
,,37.77,-122.41,1
,,37.77,-122.45,2
,,37.77,-122.42,2
,,37.77,-122.4,1
,,37.77,-122.41,4
,,37.77,-122.45,1
,,37.77,-122.42,1
,,37.77,-122.42,1
,,37.77,-122.42,1
,,37.77,-122.42,1
,,37.77,-122.42,2
,,37.77,-122.48,1
,,37.77,-122.47,1
,,37.77,-122.45,2
,,37.77,-122.51,2
,,37.77,-122.41,2
,,37.77,-122.51,1
,,37.77,-122.41,1
,,37.77,-122.45,2
,,37.77,-122.42,2
,,37.77,-122.43,1
,,37.77,-122.42,1
,,37.77,-122.49,1
,,37.77,-122.42,2
,,37.77,-122.45,1
,,37.77,-122.42,1
,,37.77,-122.41,3
,,37.77,-122.45,1
,,37.77,-122.44,0
,,37.77,-122.41,2
,,37.77,-122.51,1
,,37.77,-122.41,1
,,37.77,-122.45,2
,,37.77,-122.42,2
,,37.77,-122.43,1
,,37.77,-122.42,1
,,37.77,-122.49,1
,,37.77,-122.42,2
,,37.77,-122.45,1
,,37.77,-122.42,1
,,37.77,-122.41,2
,,37.77,-122.45,1
,,37.77,-122.44,1
,,37.77,-122.41,1
,,37.77,-122.42,1
,,37.77,-122.44,7
,,37.77,-122.42,1
,,37.77,-122.42,3
,,37.78,-122.44,2
,,37.78,-122.41,2
,,37.78,-122.42,1
,,37.78,-122.41,1
,,37.78,-122.41,1
,,37.78,-122.41,2
,,37.78,-122.4,2
,,37.78,-122.41,1
,,37.78,-122.41,1
,,37.78,-122.4,2
,,37.78,-122.4,2
,,37.78,-122.41,4
,,37.78,-122.4,0
,,37.78,-122.41,3
,,37.78,-122.4,1
,,37.78,-122.41,1
,,37.78,-122.42,1
,,37.78,-122.4,1
,,37.78,-122.47,2
,,37.78,-122.45,2
,,37.78,-122.45,3
,,37.78,-122.42,6
,,37.78,-122.42,5
,,37.78,-122.41,3
,,37.78,-122.42,5
,,37.78,-122.41,4
,,37.78,-122.42,1
,,37.78,-122.39,1
,,37.78,-122.41,2
,,37.78,-122.42,1
,,37.78,-122.42,4
,,37.78,-122.44,1
,,37.78,-122.41,1
,,37.79,-122.39,9
,,37.79,-122.4,1
,,37.79,-122.42,1
,,37.79,-122.41,2
,,37.79,-122.41,1
,,37.79,-122.42,1
,,37.79,-122.4,5
,,37.79,-122.42,1
,,37.79,-122.42,8
,,37.79,-122.4,0
,,37.79,-122.42,1
,,37.79,-122.4,6
,,37.79,-122.4,1
,,37.79,-122.42,6
,,37.79,-122.4,1
,,37.79,-122.4,1
,,37.79,-122.39,3
,,37.79,-122.42,1
,,37.79,-122.4,1
,,37.79,-122.42,6
,,37.79,-122.4,1
,,37.79,-122.39,1
,,37.8,-122.41,3
,,37.81,-122.42,1
,,37.71,-122.46,1
,,37.71,-122.49,1
,,37.71,-122.44,1
,,37.71,-122.45,2
,,37.71,-122.47,1
,,37.72,-122.39,4
,,37.72,-122.47,3
,,37.72,-122.4,2
,,37.72,-122.49,3
,,37.72,-122.48,23
,,37.72,-122.5,1
,,37.72,-122.4,2
,,37.72,-122.44,1
,,37.72,-122.41,4
,,37.72,-122.45,2
,,37.72,-122.39,2
,,37.72,-122.49,6
,,37.72,-122.46,1
,,37.72,-122.42,1
,,37.72,-122.49,23
,,37.72,-122.39,2
,,37.72,-122.48,4
,,37.72,-122.39,5
,,37.73,-122.39,1
,,37.73,-122.48,14
,,37.73,-122.38,2
,,37.73,-122.46,2
,,37.73,-122.39,1
,,37.73,-122.48,1
,,37.73,-122.45,1
,,37.73,-122.46,1
,,37.73,-122.38,1
,,37.73,-122.39,4
,,37.73,-122.39,1
,,37.73,-122.38,3
,,37.73,-122.39,1
,,37.73,-122.48,45
,,37.73,-122.45,3
,,37.73,-122.45,1
,,37.73,-122.49,2
,,37.73,-122.38,2
,,37.73,-122.44,1
,,37.73,-122.44,2
,,37.73,-122.5,3
,,37.73,-122.49,2
,,37.73,-122.48,1
,,37.73,-122.48,3
,,37.74,-122.5,1
,,37.74,-122.51,1
,,37.74,-122.51,2
,,37.74,-122.48,1
,,37.74,-122.41,3
,,37.74,-122.42,1
,,37.74,-122.4,1
,,37.74,-122.4,3
,,37.74,-122.42,1
,,37.74,-122.4,2
,,37.74,-122.51,2
,,37.74,-122.44,1
,,37.74,-122.39,1
,,37.74,-122.51,1
,,37.74,-122.46,1
,,37.74,-122.39,1
,,37.74,-122.4,1
,,37.74,-122.38,2
,,37.74,-122.39,4
,,37.74,-122.51,4
,,37.74,-122.4,8
,,37.74,-122.43,1
,,37.74,-122.39,2
,,37.74,-122.4,10
,,37.74,-122.4,8
,,37.74,-122.39,11
,,37.74,-122.48,2
,,37.74,-122.4,9
,,37.75,-122.4,7
,,37.75,-122.47,1
,,37.75,-122.39,3
,,37.75,-122.51,4
,,37.75,-122.51,1
,,37.75,-122.48,2
,,37.75,-122.39,17
,,37.75,-122.51,1
,,37.75,-122.39,4
,,37.75,-122.44,1
,,37.75,-122.39,3
,,37.75,-122.51,2
,,37.75,-122.41,1
,,37.75,-122.51,2
,,37.75,-122.48,1
,,37.75,-122.49,1
,,37.75,-122.39,1
,,37.75,-122.51,1
,,37.76,-122.49,1
,,37.76,-122.49,1
,,37.76,-122.5,1